,image_id,method,N_0,mu,R2,medium
0,975,colony,1528.6252130997466,0.4681468784022443,0.9966596063481356,Acetate-MOPS
1,975,count,3.545036793788817,0.4630059944537246,0.994147205279538,Acetate-MOPS
2,975,area,9.68956006802696,0.470276073585041,0.9943241747074488,Acetate-MOPS
3,975,length,10.08710728801885,0.4730563282367538,0.9961264789601402,Acetate-MOPS
4,976,colony,1044.543084377493,0.4840069401850085,0.9987125829834852,Acetate-MOPS
5,976,count,2.490829051877017,0.469681608456328,0.9871588826170872,Acetate-MOPS
6,976,area,7.104026109078303,0.4698311686065655,0.9967568216854396,Acetate-MOPS
7,976,length,7.372539075345201,0.4757870279843948,0.997227671237608,Acetate-MOPS
8,977,colony,1715.653437430777,0.4805147564576767,0.9993008406045024,Acetate-MOPS
9,977,count,3.8576077246830143,0.4789372449679134,0.9941045327924982,Acetate-MOPS
10,977,area,11.635275304367676,0.4723228089413936,0.9971665313781496,Acetate-MOPS
11,977,length,11.740136406585028,0.4797647789573086,0.9958187820195046,Acetate-MOPS
12,978,colony,2652.043963232714,0.486973378580329,0.9989344499241938,Acetate-MOPS
13,978,count,6.078562095239315,0.4811284800341897,0.9936958774317802,Acetate-MOPS
14,978,area,17.564792510992902,0.475843286577319,0.9942103258146808,Acetate-MOPS
15,978,length,18.938285907478363,0.4777028833853218,0.9928340660769792,Acetate-MOPS
16,979,colony,1574.8599278392094,0.4921077619405593,0.9971011727170028,Acetate-MOPS
17,979,count,4.098745650866316,0.4718964488405989,0.994464284693198,Acetate-MOPS
18,979,area,10.73851502154318,0.4807456392790346,0.9954952622716784,Acetate-MOPS
19,979,length,11.032789921475509,0.4874841104790241,0.9966634457161584,Acetate-MOPS
20,980,colony,3867.150888049117,0.4643745080531062,0.998607210597916,Acetate-MOPS
21,980,count,8.70891640828289,0.4612802682664574,0.9911528102952588,Acetate-MOPS
22,980,area,25.13794394661826,0.4617653371572521,0.9944219113640396,Acetate-MOPS
23,980,length,25.175609228311323,0.4708575296636482,0.9944799810514756,Acetate-MOPS
24,982,colony,1760.71111251953,0.4724342262516564,0.9969409583811208,Acetate-MOPS
25,982,count,3.958654024702398,0.4686287814807007,0.9923378522920724,Acetate-MOPS
26,982,area,11.88846558112586,0.4643775762444955,0.9908029053554728,Acetate-MOPS
27,982,length,11.991707984975823,0.4709086756375845,0.9923351786214794,Acetate-MOPS
28,983,colony,2185.4806863385893,0.4750809893685219,0.9974366884495748,Acetate-MOPS
29,983,count,4.999792066969818,0.4701402620922239,0.993375446474234,Acetate-MOPS
30,983,area,14.048575680264328,0.4656913035150334,0.9919313473571126,Acetate-MOPS
31,983,length,15.21937037738478,0.4682263255947526,0.991308538259611,Acetate-MOPS
32,984,colony,820.9507040763608,0.4622098193186307,0.9995752680945488,Acetate-MOPS
33,984,count,2.0701446714185194,0.4434272649138514,0.9972679630742116,Acetate-MOPS
34,984,area,5.625679729455985,0.4497716696686748,0.9982723948181338,Acetate-MOPS
35,984,length,6.295896750910701,0.4447034075681643,0.995113518575727,Acetate-MOPS
36,985,colony,1064.8889512069338,0.4810127257325733,0.995735796019018,Acetate-MOPS
37,985,count,2.570668938039542,0.4707894243372813,0.9867623272504784,Acetate-MOPS
38,985,area,7.093730250379519,0.4733521953812363,0.9958179329347772,Acetate-MOPS
39,985,length,7.437010897063941,0.4765794723711367,0.994965824873264,Acetate-MOPS
40,986,colony,2002.40137106572,0.4912882419265624,0.9973734833954414,Acetate-MOPS
41,986,count,4.462201570255961,0.4914079790437685,0.9967914984987126,Acetate-MOPS
42,986,area,13.074557997470896,0.4878091752078675,0.9971471430543624,Acetate-MOPS
43,986,length,13.477167962223184,0.4923363310259492,0.9968014927922092,Acetate-MOPS
44,987,colony,2190.497701877437,0.4618345835796751,0.9978344159937778,Acetate-MOPS
45,987,count,4.698552447498749,0.4690050702726413,0.9930908433693764,Acetate-MOPS
46,987,area,13.975251036855273,0.4608317575672983,0.9963751491908316,Acetate-MOPS
47,987,length,14.2552736380703,0.4695550325424525,0.9966421786236088,Acetate-MOPS
48,988,colony,1792.190834054263,0.4597517004524604,0.9980920697508612,Acetate-MOPS
49,988,count,3.83093960059854,0.4655833999262559,0.9947298214226014,Acetate-MOPS
50,988,area,11.933876746049195,0.4545694489694831,0.9963001514633284,Acetate-MOPS
51,988,length,11.874261063084804,0.463894603182505,0.9968600478079018,Acetate-MOPS
52,989,colony,1552.5828480708813,0.4702939228432771,0.9971485997075716,Acetate-MOPS
53,989,count,3.236579640182078,0.4775545403310522,0.9929136576080068,Acetate-MOPS
54,989,area,9.868342016946132,0.4702106278485334,0.9965966916443296,Acetate-MOPS
55,989,length,9.92731649162083,0.4771783534634373,0.9971078525328552,Acetate-MOPS
56,990,colony,3472.153350463508,0.4807815389538241,0.9986036984677942,Acetate-MOPS
57,990,count,7.045963805917915,0.4937412184404472,0.9979616345238324,Acetate-MOPS
58,990,area,22.74192928202134,0.4769878629747693,0.9972191680263588,Acetate-MOPS
59,990,length,22.730475928955475,0.4861920031558506,0.997136322410632,Acetate-MOPS
60,991,colony,2553.053427408693,0.4732933366162005,0.9999332990030544,Acetate-MOPS
61,991,count,5.849479106207783,0.4700727001741044,0.9973502816228924,Acetate-MOPS
62,991,area,16.73043209022435,0.4691914946231922,0.9973794008293088,Acetate-MOPS
63,991,length,17.162710647386728,0.47503653638422,0.9975545193987606,Acetate-MOPS
64,992,colony,1106.6244902729643,0.4311832970370587,0.9940175894004432,Acetate-MOPS
65,992,count,3.1979090871116087,0.3990449445445196,0.9813207984952764,Acetate-MOPS
66,992,area,7.021293342616253,0.4277942389710913,0.9940643280495898,Acetate-MOPS
67,992,length,7.919743633569164,0.4237156154416636,0.9931964595752656,Acetate-MOPS
68,994,colony,971.569749417423,0.4469546983893976,0.9983294998711376,Acetate-MOPS
69,994,count,2.474537711188359,0.4290247668861816,0.9806792936730176,Acetate-MOPS
70,994,area,6.717715804920014,0.4340107451881643,0.9965660783719252,Acetate-MOPS
71,994,length,7.12213083393754,0.4359979915885195,0.9961848207026862,Acetate-MOPS
72,995,colony,752.2452758608845,0.4676084466123818,0.9985259569343764,Acetate-MOPS
73,995,count,1.883309815011119,0.4500562165605596,0.9951550693967116,Acetate-MOPS
74,995,area,5.139348732017607,0.4567124278349302,0.9968031941949214,Acetate-MOPS
75,995,length,5.260643875537367,0.4619385165110992,0.9975213192014868,Acetate-MOPS
76,996,colony,655.9387089132887,0.4676071048118642,0.9986893641719912,Acetate-MOPS
77,996,count,1.4249151466992935,0.4698416951412489,0.9886659950343012,Acetate-MOPS
78,996,area,4.521849071239898,0.4574258788941358,0.996870273158284,Acetate-MOPS
79,996,length,4.451867916940168,0.4665127799640827,0.9972476314518404,Acetate-MOPS
80,1005,colony,4366.385073573956,0.7058190975758863,0.999503308480328,Citrat-MOPS
81,1005,count,8.739679730379425,0.7451464984986371,0.9932073113550988,Citrat-MOPS
82,1005,area,27.300200887090927,0.7038713999553746,0.9993387273477568,Citrat-MOPS
83,1005,length,28.33490753571332,0.7237801751243341,0.9996168600844494,Citrat-MOPS
84,998,colony,1730.4259576250045,0.6893082494318348,0.9971699289740824,Citrat-MOPS
85,998,count,3.869266441256641,0.6916966332986226,0.9765597811216916,Citrat-MOPS
86,998,area,10.72622756290076,0.6810498051343364,0.9994421952463668,Citrat-MOPS
87,998,length,11.17718023338592,0.703819865837727,0.9992980920452718,Citrat-MOPS
88,999,colony,5418.602758883887,0.6819282589599467,0.9990790168564588,Citrat-MOPS
89,999,count,12.571029745581985,0.6790016074881627,0.993042551448818,Citrat-MOPS
90,999,area,34.66185467435065,0.6692028629394338,0.9995518526414392,Citrat-MOPS
